episode,step,maxsnr_sum_rate,fed_sum_rate,maxsnr_admit_rate,fed_admit_rate,maxsnr_fairness,fed_fairness,winner,diff_sum_rate
0,0,2850982508.604402,2929234176.166112,0.35,0.4,0.8428546957528091,0.7750929439499248,FedCombo,78251667.56170988
0,1,3045150456.6276383,2949054198.6800385,0.4,0.4,0.7299643606419777,0.6817776811999026,Max-SNR,-96096257.94759989
0,2,2767871380.5353084,2767871380.5353084,0.4,0.4,0.7532008412846422,0.7532008412846422,Tie,0.0
0,3,2273131680.282294,2273131680.282294,0.4,0.4,0.7592301965675361,0.7592301965675361,Tie,0.0
0,4,2956762053.9729185,2956762053.9729185,0.4,0.4,0.77471089177053,0.77471089177053,Tie,0.0
0,5,2507793413.6349764,2402489879.452356,0.4,0.4,0.6904699541182474,0.6438776060421142,Max-SNR,-105303534.18262053
0,6,3454359132.6609,3452130395.021884,0.4,0.4,0.6831252905233337,0.6823721688991745,Max-SNR,-2228737.6390161514
0,7,3146546377.173818,3304469038.0249248,0.4,0.4,0.770421509075593,0.8118780288071703,FedCombo,157922660.85110664
0,8,3026179124.8084555,2879032809.3671627,0.4,0.4,0.7246600925888861,0.6843666271576608,Max-SNR,-147146315.44129276
0,9,3240413521.5058565,3240413521.5058565,0.4,0.4,0.8437164171428516,0.8437164171428516,Tie,0.0
0,10,3344145103.117107,3499180635.8977156,0.4,0.4,0.6895108966698338,0.7350781019620665,FedCombo,155035532.78060865
0,11,3216506505.360673,3216506505.360673,0.4,0.4,0.734532532538561,0.734532532538561,Tie,0.0
0,12,3565245080.4335527,3109045491.913723,0.4,0.4,0.7866935128883861,0.6648271302202381,Max-SNR,-456199588.51982975
0,13,3144983234.7334223,2953924858.296319,0.4,0.4,0.726424414207589,0.66585340283993,Max-SNR,-191058376.43710327
0,14,2800376034.3613386,2776429533.930121,0.4,0.4,0.8406181389605998,0.8307241692576098,Max-SNR,-23946500.43121767
0,15,2811669650.0423346,2811669650.0423346,0.4,0.4,0.8097281055796242,0.8097281055796242,Tie,0.0
0,16,2423044588.264553,2423044588.264553,0.35,0.35,0.6514149140621003,0.6514149140621003,Tie,0.0
0,17,2816439246.7961864,2816439246.7961864,0.4,0.4,0.7374673490058403,0.7374673490058403,Tie,0.0
0,18,2626686500.199615,2626686500.199615,0.35,0.35,0.6262890057109283,0.6262890057109283,Tie,0.0
0,19,2640419642.6695004,2640419642.6695004,0.4,0.4,0.6910246766141905,0.6910246766141905,Tie,0.0
0,20,2979202742.86053,2745255944.4501286,0.4,0.35,0.6880755771423182,0.6864398869008496,Max-SNR,-233946798.41040134
0,21,2330194833.0011,2330194833.0011,0.4,0.4,0.8735967359737921,0.8735967359737921,Tie,0.0
0,22,2915427275.836175,2915427275.836175,0.4,0.4,0.7543821194343754,0.7543821194343754,Tie,0.0
0,23,2545654960.964183,2545654960.964183,0.4,0.4,0.7874769098553567,0.7874769098553567,Tie,0.0
0,24,2879585329.4130874,2640860760.4976277,0.4,0.4,0.7589424646776824,0.6777713732631078,Max-SNR,-238724568.91545963
0,25,3061490350.603842,3061490350.603842,0.4,0.4,0.7201704842279966,0.7201704842279966,Tie,0.0
0,26,3140059440.136549,3334763641.864341,0.4,0.4,0.6456936662365215,0.7000515761413383,FedCombo,194704201.7277918
0,27,2545000813.067015,2517983989.3209004,0.4,0.4,0.8153650863427736,0.8015964551513677,Max-SNR,-27016823.74611473
0,28,2279920064.816363,2347239955.2856975,0.4,0.4,0.8548342625357963,0.8282007614496559,FedCombo,67319890.4693346
0,29,3137606654.963507,3137606654.963507,0.4,0.4,0.7678369250356868,0.7678369250356868,Tie,0.0
0,30,2662314619.8821945,2662314619.8821945,0.4,0.4,0.7768749415519713,0.7768749415519713,Tie,0.0
0,31,2652458711.6038513,2446058835.5541534,0.4,0.4,0.7371106717911284,0.659781025648672,Max-SNR,-206399876.04969788
0,32,3146883464.3670287,3146883464.3670287,0.4,0.4,0.8256352289845035,0.8256352289845035,Tie,0.0
0,33,3338799500.952203,3338799500.952203,0.4,0.4,0.8139358740739344,0.8139358740739344,Tie,0.0
0,34,2744371132.5419464,2744371132.5419464,0.4,0.4,0.7634047508165414,0.7634047508165414,Tie,0.0
0,35,2952409097.5033326,2820511531.296229,0.35,0.3,0.7438672286454232,0.8003535274997787,Max-SNR,-131897566.20710373
0,36,3245607543.305619,3245607543.305619,0.4,0.4,0.7302643680435273,0.7302643680435273,Tie,0.0
0,37,2625525065.510844,2625525065.510844,0.4,0.4,0.7289141733759953,0.7289141733759953,Tie,0.0
0,38,3079089954.1947017,3079089954.1947017,0.4,0.4,0.7943295433784522,0.7943295433784522,Tie,0.0
0,39,2971975876.1565084,2702119550.8799324,0.4,0.35,0.7054550224195455,0.6895213720076981,Max-SNR,-269856325.27657604
0,40,3333161546.2172813,3270927549.930557,0.4,0.4,0.6991133155985513,0.6764165373690334,Max-SNR,-62233996.28672457
0,41,2554125625.908882,2363069403.974503,0.4,0.4,0.7269453208778416,0.6696592007738921,Max-SNR,-191056221.9343791
0,42,2512066829.065755,2512066829.065755,0.35,0.35,0.6850311667623827,0.6850311667623827,Tie,0.0
0,43,2487008711.452116,2487008711.452116,0.4,0.4,0.7409627155076928,0.7409627155076928,Tie,0.0
0,44,2870881944.547352,2870881944.547352,0.4,0.4,0.7837327674778661,0.7837327674778661,Tie,0.0
0,45,3044523705.8348584,2782696295.913189,0.4,0.4,0.7314457013494555,0.6615094720086904,Max-SNR,-261827409.92166948
