episode,step,maxsnr_sum_rate,fed_sum_rate,maxsnr_admit_rate,fed_admit_rate,maxsnr_fairness,fed_fairness,winner,diff_sum_rate
0,0,2850982508.604402,2830295299.037881,0.35,0.4,0.8428546957528091,0.7401205521693646,Max-SNR,-20687209.566521168
0,1,3045150456.6276383,3045150456.6276383,0.4,0.4,0.7299643606419777,0.7299643606419777,Tie,0.0
0,2,2767871380.5353084,2452509480.392578,0.4,0.4,0.7532008412846422,0.6509991723327709,Max-SNR,-315361900.14273024
0,3,2273131680.282294,2496598987.893292,0.4,0.4,0.7592301965675361,0.8099911587410105,FedCombo,223467307.61099815
0,4,2956762053.9729185,3062951166.393072,0.4,0.4,0.77471089177053,0.8046601859295032,FedCombo,106189112.42015362
0,5,2507793413.6349764,2446225749.3697248,0.4,0.4,0.6904699541182474,0.6646976835184466,Max-SNR,-61567664.26525164
0,6,3454359132.6609,3441096514.2789044,0.4,0.4,0.6831252905233337,0.6786023520041621,Max-SNR,-13262618.381995678
0,7,3146546377.173818,3146546377.173818,0.4,0.4,0.770421509075593,0.770421509075593,Tie,0.0
0,8,3026179124.8084555,2746620416.776894,0.4,0.4,0.7246600925888861,0.6362979234285919,Max-SNR,-279558708.0315614
0,9,3240413521.5058565,3240413521.5058565,0.4,0.4,0.8437164171428516,0.8437164171428516,Tie,0.0
0,10,3344145103.117107,3471024181.2840586,0.4,0.4,0.6895108966698338,0.7255151245510782,FedCombo,126879078.16695166
0,11,3216506505.360673,3196779984.292354,0.4,0.4,0.734532532538561,0.7272896671074247,Max-SNR,-19726521.068318844
0,12,3565245080.4335527,3437870563.199179,0.4,0.4,0.7866935128883861,0.7398881918310011,Max-SNR,-127374517.23437357
0,13,3144983234.7334223,3144983234.7334223,0.4,0.4,0.726424414207589,0.726424414207589,Tie,0.0
0,14,2800376034.3613386,2800376034.3613386,0.4,0.4,0.8406181389605998,0.8406181389605998,Tie,0.0
0,15,2811669650.0423346,2811669650.0423346,0.4,0.4,0.8097281055796242,0.8097281055796242,Tie,0.0
0,16,2423044588.264553,2269887572.2707167,0.35,0.4,0.6514149140621003,0.5215538967169365,Max-SNR,-153157015.9938364
0,17,2816439246.7961864,2567841059.791891,0.4,0.4,0.7374673490058403,0.6478372014679741,Max-SNR,-248598187.00429535
0,18,2626686500.199615,2301175294.9109364,0.35,0.4,0.6262890057109283,0.46058710047560536,Max-SNR,-325511205.28867865
0,19,2640419642.6695004,2744244818.123109,0.4,0.4,0.6910246766141905,0.6398168581556705,FedCombo,103825175.45360851
0,20,2979202742.86053,2979202742.86053,0.4,0.4,0.6880755771423182,0.6880755771423182,Tie,0.0
0,21,2330194833.0011,2330194833.0011,0.4,0.4,0.8735967359737921,0.8735967359737921,Tie,0.0
0,22,2915427275.836175,2915427275.836175,0.4,0.4,0.7543821194343754,0.7543821194343754,Tie,0.0
0,23,2545654960.964183,2260826399.6012955,0.4,0.4,0.7874769098553567,0.6764993608596344,Max-SNR,-284828561.3628874
0,24,2879585329.4130874,2560209302.88406,0.4,0.4,0.7589424646776824,0.6417149908316496,Max-SNR,-319376026.52902746
0,25,3061490350.603842,3032978157.483235,0.4,0.4,0.7201704842279966,0.708542991086259,Max-SNR,-28512193.1206069
0,26,3140059440.136549,3140059440.136549,0.4,0.4,0.6456936662365215,0.6456936662365215,Tie,0.0
0,27,2545000813.067015,2537458953.444091,0.4,0.4,0.8153650863427736,0.8116351445960177,Max-SNR,-7541859.622924328
0,28,2279920064.816363,2428761906.767137,0.4,0.4,0.8548342625357963,0.7345941272972092,FedCombo,148841841.9507742
0,29,3137606654.963507,2982249088.6673455,0.4,0.4,0.7678369250356868,0.7139828069057904,Max-SNR,-155357566.29616165
0,30,2662314619.8821945,2594201648.813752,0.4,0.4,0.7768749415519713,0.7443535897888748,Max-SNR,-68112971.06844234
0,31,2652458711.6038513,2577921819.30336,0.4,0.4,0.7371106717911284,0.7031439218103626,Max-SNR,-74536892.30049133
0,32,3146883464.3670287,3146883464.3670287,0.4,0.4,0.8256352289845035,0.8256352289845035,Tie,0.0
0,33,3338799500.952203,3338799500.952203,0.4,0.4,0.8139358740739344,0.8139358740739344,Tie,0.0
0,34,2744371132.5419464,2583855769.7016277,0.4,0.4,0.7634047508165414,0.7351553051716444,Max-SNR,-160515362.84031868
0,35,2952409097.5033326,2829607906.56727,0.35,0.4,0.7438672286454232,0.6140639569279237,Max-SNR,-122801190.93606281
0,36,3245607543.305619,3184673464.870209,0.4,0.4,0.7302643680435273,0.7063939552783522,Max-SNR,-60934078.435409546
0,37,2625525065.510844,2625525065.510844,0.4,0.4,0.7289141733759953,0.7289141733759953,Tie,0.0
0,38,3079089954.1947017,3079089954.1947017,0.4,0.4,0.7943295433784522,0.7943295433784522,Tie,0.0
0,39,2971975876.1565084,2886154780.279241,0.4,0.4,0.7054550224195455,0.6701366579771474,Max-SNR,-85821095.87726736
0,40,3333161546.2172813,3333161546.2172813,0.4,0.4,0.6991133155985513,0.6991133155985513,Tie,0.0
0,41,2554125625.908882,2275343027.4407783,0.4,0.4,0.7269453208778416,0.6290655578548024,Max-SNR,-278782598.4681039
0,42,2512066829.065755,2458737085.9957857,0.35,0.4,0.6850311667623827,0.5782320021074497,Max-SNR,-53329743.06996918
0,43,2487008711.452116,2740149378.995215,0.4,0.4,0.7409627155076928,0.7700242151039909,FedCombo,253140667.54309893
0,44,2870881944.547352,2870881944.547352,0.4,0.4,0.7837327674778661,0.7837327674778661,Tie,0.0
